コード	業種	事業内容
4481	情報・通信業	受託開発を中心としたソフトウェア開発サービスの提供など
4484	情報・通信業	フリーランスと企業を仕事領域でマッチングさせるプラットフォーム
4499	情報・通信業	データ資産を利活用したマーケティング活動を支援するMarTech事業および消費者と事業者をつなぐプラットフォームサービスを提供しリアル産業のデジタルシフトを促進するX-Tech事業の運営など
4598	医薬品	医薬品などの研究開発、製造、販売
4881	医薬品	機能性ペプチドを用いた医薬品などの研究開発事業
6176	サービス業	電子雑誌出版事業
6232	機械	商業用ドローンの製造販売および自律制御技術を用いた無人化・IoT化にかかわるソリューションサービスの提供
6238	機械	プリントシール機及びその関連製品の企画・開発・販売、インターネット上のコンテンツ・メディアの企画・運営・開発、クレーンゲーム景品の企画・販売、家庭用・スマートフォン向けゲームの企画・開発・運営
6532	サービス業	①戦略・ビジネスコンサルティング、②ITコンサルティング、③システムインテグレーション、を主たるサービスとした総合コンサルティングファーム
6539	サービス業	企業の管理部門及び弁護士、公認会計士、税理士等の士業に特化した人材紹介業及び同領域におけるインターネットメディアの運営
6543	サービス業	広告・セールスプロモーションを中心としたコミュニケーションサービス全般の提供
6548	サービス業	オンラインでの国内および海外向けのパッケージ旅行の企画・販売や、航空券の販売、宿泊手配、オプショナルツアーの手配など
6557	サービス業	東京・千葉・神奈川・大阪を中心とした保育施設・介護施設の運営、ならびに関連するICT事業
6561	サービス業	訪日外国人向けツアーの地上手配を中心とする旅行事業、貸切バス・免税販売店・ホテルなど施設の運営事業
7047	サービス業	インターネットメディア事業
7071	サービス業	住宅型有料老人ホームなど『医心館』施設内における訪問看護、訪問介護、居宅介護支援および障碍者支援などの各種サービスの提供と施設運営による『医療施設型ホスピス』事業
7077	サービス業	天気予報専門サイト『tenki.jp』の運営
7088	サービス業	エンジニア人材の派遣事業・紹介事業
7097	サービス業	認可保育所を中心とした保育所などの運営
7360	サービス業	M&Aに関する仲介、アドバイザリー業務
7673	卸売業	ケーブルTVおよび情報通信ネットワーク向け各種商品の仕入・販売
7682	小売業	『浜木綿』を主要ブランドとする中国料理専門店の運営
7800	その他製品	主にライフスタイル雑貨の企画・仕入・卸販売
7804	その他製品	業務用インクジェットプリンターを使用した販売促進用の広告制作、インテリアなどの生活資材・製品制作
7805	その他製品	インターネットを用いた印刷物の受注販売
